city,population,area,density
新北市,3954929,2052.567,1926.820903
臺北市,2686516,271.7997,9884.175737
臺中市,2701661,2214.987,1219.718671
臺南市,1883208,2191.653,859.2637612
高雄市,2779877,2947.616,943.0933337
宜蘭縣,458456,2143.625,213.8694968
桃園縣,2044023,1220.954,1674.119582
新竹縣,530486,1427.537,371.6092823
苗栗縣,565554,1820.315,310.6901827
彰化縣,1296013,1074.396,1206.271244
南投縣,517222,4106.436,125.9539903
雲林縣,707792,1290.8326,548.3220675
嘉義縣,529229,1903.637,278.0094104
屏東縣,852886,2775.6,307.2798674
臺東縣,224821,3515.253,63.95585183
花蓮縣,333987,4628.571,72.15769187
澎湖縣,100400,126.8641,791.3980393
基隆市,374914,132.7589,2824.021591
新竹市,428483,104.1526,4113.992354
嘉義市,270872,60.0256,4512.607954
金門縣,120713,151.656,795.9658701
連江縣,12165,28.8,422.3958333
